Tg,Tf,theta,R,tau_a
283.15,413.15,0,460000,0.1
283.15,418.15,0,460000,0.1
283.15,423.15,0,460000,0.1
283.15,428.15,0,460000,0.1
283.15,433.15,0,460000,0.1
283.15,413.15,2,460000,0.1
283.15,418.15,2,460000,0.1
283.15,423.15,2,460000,0.1
283.15,428.15,2,460000,0.1
283.15,433.15,2,460000,0.1
283.15,413.15,4,460000,0.1
283.15,418.15,4,460000,0.1
283.15,423.15,4,460000,0.1
283.15,428.15,4,460000,0.1
283.15,433.15,4,460000,0.1
283.15,413.15,6,460000,0.1
283.15,418.15,6,460000,0.1
283.15,423.15,6,460000,0.1
283.15,428.15,6,460000,0.1
283.15,433.15,6,460000,0.1
283.15,413.15,8,460000,0.1
283.15,418.15,8,460000,0.1
283.15,423.15,8,460000,0.1
283.15,428.15,8,460000,0.1
283.15,433.15,8,460000,0.1
283.15,413.15,10,460000,0.1
283.15,418.15,10,460000,0.1
283.15,423.15,10,460000,0.1
283.15,428.15,10,460000,0.1
283.15,433.15,10,460000,0.1
283.15,413.15,12,460000,0.1
283.15,418.15,12,460000,0.1
283.15,423.15,12,460000,0.1
283.15,428.15,12,460000,0.1
283.15,433.15,12,460000,0.1
283.15,413.15,14,460000,0.1
283.15,418.15,14,460000,0.1
283.15,423.15,14,460000,0.1
283.15,428.15,14,460000,0.1
283.15,433.15,14,460000,0.1
283.15,413.15,16,460000,0.1
283.15,418.15,16,460000,0.1
283.15,423.15,16,460000,0.1
283.15,428.15,16,460000,0.1
283.15,433.15,16,460000,0.1
283.15,413.15,18,460000,0.1
283.15,418.15,18,460000,0.1
283.15,423.15,18,460000,0.1
283.15,428.15,18,460000,0.1
283.15,433.15,18,460000,0.1
283.15,413.15,20,460000,0.1
283.15,418.15,20,460000,0.1
283.15,423.15,20,460000,0.1
283.15,428.15,20,460000,0.1
283.15,433.15,20,460000,0.1
283.15,413.15,22,460000,0.1
283.15,418.15,22,460000,0.1
283.15,423.15,22,460000,0.1
283.15,428.15,22,460000,0.1
283.15,433.15,22,460000,0.1
283.15,413.15,24,460000,0.1
283.15,418.15,24,460000,0.1
283.15,423.15,24,460000,0.1
283.15,428.15,24,460000,0.1
283.15,433.15,24,460000,0.1
283.15,413.15,0,460000,0.15000000000000002
283.15,418.15,0,460000,0.15000000000000002
283.15,423.15,0,460000,0.15000000000000002
283.15,428.15,0,460000,0.15000000000000002
283.15,433.15,0,460000,0.15000000000000002
283.15,413.15,2,460000,0.15000000000000002
283.15,418.15,2,460000,0.15000000000000002
283.15,423.15,2,460000,0.15000000000000002
283.15,428.15,2,460000,0.15000000000000002
283.15,433.15,2,460000,0.15000000000000002
283.15,413.15,4,460000,0.15000000000000002
283.15,418.15,4,460000,0.15000000000000002
283.15,423.15,4,460000,0.15000000000000002
283.15,428.15,4,460000,0.15000000000000002
283.15,433.15,4,460000,0.15000000000000002
283.15,413.15,6,460000,0.15000000000000002
283.15,418.15,6,460000,0.15000000000000002
283.15,423.15,6,460000,0.15000000000000002
283.15,428.15,6,460000,0.15000000000000002
283.15,433.15,6,460000,0.15000000000000002
283.15,413.15,8,460000,0.15000000000000002
283.15,418.15,8,460000,0.15000000000000002
283.15,423.15,8,460000,0.15000000000000002
283.15,428.15,8,460000,0.15000000000000002
283.15,433.15,8,460000,0.15000000000000002
283.15,413.15,10,460000,0.15000000000000002
283.15,418.15,10,460000,0.15000000000000002
283.15,423.15,10,460000,0.15000000000000002
283.15,428.15,10,460000,0.15000000000000002
283.15,433.15,10,460000,0.15000000000000002
283.15,413.15,12,460000,0.15000000000000002
283.15,418.15,12,460000,0.15000000000000002
283.15,423.15,12,460000,0.15000000000000002
283.15,428.15,12,460000,0.15000000000000002
283.15,433.15,12,460000,0.15000000000000002
283.15,413.15,14,460000,0.15000000000000002
283.15,418.15,14,460000,0.15000000000000002
283.15,423.15,14,460000,0.15000000000000002
283.15,428.15,14,460000,0.15000000000000002
283.15,433.15,14,460000,0.15000000000000002
283.15,413.15,16,460000,0.15000000000000002
283.15,418.15,16,460000,0.15000000000000002
283.15,423.15,16,460000,0.15000000000000002
283.15,428.15,16,460000,0.15000000000000002
283.15,433.15,16,460000,0.15000000000000002
283.15,413.15,18,460000,0.15000000000000002
283.15,418.15,18,460000,0.15000000000000002
283.15,423.15,18,460000,0.15000000000000002
283.15,428.15,18,460000,0.15000000000000002
283.15,433.15,18,460000,0.15000000000000002
283.15,413.15,20,460000,0.15000000000000002
283.15,418.15,20,460000,0.15000000000000002
283.15,423.15,20,460000,0.15000000000000002
283.15,428.15,20,460000,0.15000000000000002
283.15,433.15,20,460000,0.15000000000000002
283.15,413.15,22,460000,0.15000000000000002
283.15,418.15,22,460000,0.15000000000000002
283.15,423.15,22,460000,0.15000000000000002
283.15,428.15,22,460000,0.15000000000000002
283.15,433.15,22,460000,0.15000000000000002
283.15,413.15,24,460000,0.15000000000000002
283.15,418.15,24,460000,0.15000000000000002
283.15,423.15,24,460000,0.15000000000000002
283.15,428.15,24,460000,0.15000000000000002
283.15,433.15,24,460000,0.15000000000000002
283.15,413.15,0,460000,0.2
283.15,418.15,0,460000,0.2
283.15,423.15,0,460000,0.2
283.15,428.15,0,460000,0.2
283.15,433.15,0,460000,0.2
283.15,413.15,2,460000,0.2
283.15,418.15,2,460000,0.2
283.15,423.15,2,460000,0.2
283.15,428.15,2,460000,0.2
283.15,433.15,2,460000,0.2
283.15,413.15,4,460000,0.2
283.15,418.15,4,460000,0.2
283.15,423.15,4,460000,0.2
283.15,428.15,4,460000,0.2
